game_title,image_url,genre,short_description,PLAYER_MODE
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Action,"Crush hordes of enemies on vast battlefields! Unleash devastating Musou attacks, conquer territories, and experience epic historical warfare.",Both
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Experience next-gen hockey! Enhanced physics, dynamic AI, and immersive arenas redefine the ultimate on-ice experience. Dominate with skill and strategy.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Puzzle,"Construct poker hands, optimize your deck with powerful synergies, and reach increasingly absurd score thresholds. A strategic roguelike with card-based combat.",Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Adventure,"Navigate vibrant 2D worlds, befriending quirky characters. Solve puzzles, gather resources, and build your dream town, all while uncovering secrets.",Both
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Explore a world on the brink of ruin, wielding evocative combat, strategic choices, and the power of dreams to shape your destiny.",Both
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,"Explore exotic locations, solve ancient puzzles, and battle Nazis in this thrilling action-adventure game! Use your whip and wits to survive.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Shooter,"Realistic, team-based World War II shooter. Experience intense infantry combat, tanks, and artillery. Coordinate with your squad for victory across vast maps.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platform,"Leap, bound, and swim through vibrant 3D worlds to collect Power Stars and rescue Princess Peach from Bowser's clutches! Explore vast landscapes.",Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Shooter,"Explore the Zone, a hostile wasteland. Scavenge, fight mutants, and uncover anomalies. Survive, adapt, and unravel the mysteries.",Both
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,Shooter,"Description: A hardcore open-world shooter. Survive anomalies, fight mutants and stalkers, scavenge for loot, and forge alliances in the Zone.",Both
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Simulation,"Description: Cooperative shopping chaos! Team up with friends to tackle grocery lists, manage shelves, and survive the supermarket frenzy before closing time!",Both
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,MMORPG,"Explore a vast world, battle fearsome monsters, and team up with others. Customize your character and classes for thrilling adventures!",Both
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Horror,"Brutal trials of psychological horror. Survive nightmarish experiments alone or with others, facing terrifying enemies and gruesome environments.",Both
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Adventure,"Make choices that shape android and human destinies. Navigate a near-future Detroit, investigating android deviancy and its societal impact.",Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Sports,"Realistic MMA action! Experience intense striking, grappling, and submissions. Build your fighter, compete online, and chase UFC glory.",Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,Simulation,"Cultivate your farm, befriend villagers, and unravel mysteries in a vibrant, shared-world community. Explore, craft, and build your dream life!",Both
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"Survive alone in the Amazon rainforest. Craft tools, build shelter, hunt for food, and battle psychological and physical challenges to stay alive.",Both
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulation,"Explore a world transformed! Experience dynamic weather, detailed environments, and realistic aircraft physics. Master your skills and fly!",Both
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Strategy,"Description: Assemble a team of champions, strategically position them, and battle against seven other players for ultimate victory. Adapt and overcome!",Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Adventure,"Explore a vast, procedurally generated universe. Discover planets, trade resources, fight pirates, and build bases. Survive and thrive!",Both
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"Cultivate diverse crops, raise animals, and manage your sprawling farm across new maps. Experience expanded mechanics and realistic agricultural life!",Both
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Shooter,"Fight to rebuild Washington D.C. in a post-pandemic America. Explore a dynamic open world, team up, and battle for survival against enemy factions.",Both
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,"Description: Battle iconic characters across massive stages! Unleash powerful attacks, master techniques, and knock foes off-screen to win in this epic fighting game.",Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Action,"Survive a zombie apocalypse in an open world. Parkour through the city, scavenge for resources, and fight infected at night.",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Shooter,"Description: Infiltrate Nazi-occupied France as an elite sniper. Master stealth, environmental takedowns, and long-range shots to aid the Resistance.",Both
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,RPG,"Explore a vast, mystical island, conquer territories, craft powerful gear, and battle supernatural threats. Shape your destiny in a dynamic, player-driven world.",Both
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Adventure,"Explore a vibrant island, make friends, and build your dream vacation! Craft, decorate, solve puzzles, and uncover hidden secrets.",Both
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Puzzle,"Assemble a band, conquer the charts! Build your skills, write hits, and outmaneuver rivals in a fast-paced musical competition.",Both
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Action,Fast-paced tank combat! Destroy enemy vehicles in intense team battles. Customize your steel beast and dominate the battlefield.,Multiplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,"A grim, roguelike dungeon crawler. Explore procedurally generated rooms, battle grotesque creatures, and collect bizarre items for devastating builds.",Both
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Survival,"Survive a dynamic open world. Craft, scavenge, and fight for territory against ruthless factions and nature's fury. Extract or die trying.",Both
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Action,"Description: Explore a vast open world, steal cars, shoot enemies, and build a criminal empire. Freedom and chaos reign in this action-packed adventure.",Both
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Dress-up,"Embark on stylish adventures! Style your avatar with dazzling outfits, compete in fashion challenges, and explore a magical world.",Both
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Shooter,"Description: Blast through mayhem with four Vault Hunters, each wielding unique skills. Loot countless guns, face off against ruthless enemies, and save the galaxy!",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,RPG,"Description: Explore a vast fantasy world! Engage in epic PvP battles and challenging PvE content. Level up, gear up, and conquer!",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Build, stock, and manage your own grocery store! Handle inventory, pricing, and customer satisfaction to grow your business from the ground up.",Both
